oi,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,IND_SEC,CORP_IND,TRADES,HI_52_WK,LO_52_WK
Y, , ,Nifty 50,23114.5,22824.35,22851.7,22471.25,22512.65,1.30E+12,6722378331,Y, ,46078096,26373.2,21743.65
Y, , ,NIFTY50 EQL Wgt,30478.6,30160.05,30172.9,29548.3,29601.45,0,0,Y, ,0,0,0
Y, , ,NIFTY100 EQL Wgt,31179.15,30869.45,30872.3,30052.95,30104.3,0,0,Y, ,0,0,0
Y, , ,NIFTY100 LowVol30,18854.25,18695.55,18701.1,18343.7,18377.65,0,0,Y, ,0,0,0
Y, , ,NIFTY Alpha 50,46708.75,46144,46144,44542.7,44842.55,0,0,Y, ,0,0,0
Y, , ,NIFTY MIDCAP 150,20226.9,20007.65,20007.65,19384.45,19445.75,0,0,Y, ,0,22650.05,17269.5
Y, , ,NIFTY SMLCAP 50,7683.4,7613,7613.4,7338.35,7400.6,0,0,Y, ,0,9282.7,6776.05
Y, , ,NIFTY SMLCAP 250,14791.95,14643.45,14643.75,14143.45,14232.85,0,0,Y, ,0,18077.35,13314.7
Y, , ,NIFTY MIDSML 400,18208.55,18016.05,18016.05,17436.95,17510.35,0,0,Y, ,0,20668.15,15832.85
Y, , ,NIFTY200 QUALTY30,18839.25,18660,18660,18297.65,18342.65,0,0,Y, ,0,0,0
Y, , ,Nifty FinSrv25 50,27131.85,26716.4,26740.7,26128.05,26192.3,0,0,Y, ,0,0,0
Y, , ,NIFTY AlphaLowVol,24871.2,24624.35,24636.65,24085.85,24135.05,0,0,Y, ,0,0,0
Y, , ,Nifty200Momentm30,28410.95,28014.4,28014.4,27186.05,27324.95,0,0,Y, ,0,0,0
Y, , ,Nifty100ESGSecLdr,3840.55,3791.95,3795.75,3731.65,3741.15,0,0,Y, ,0,0,0
Y, , ,NIFTY100 ESG,4614.45,4560.45,4561.8,4472.75,4483.25,0,0,Y, ,0,0,0
Y, , ,NIFTY M150 QLTY50,21481.8,21259.7,21259.7,20654.5,20731.35,0,0,Y, ,0,0,0
Y, , ,NIFTY INDIA MFG,14572.4,14419.45,14422.25,14052.4,14090.9,0,0,Y, ,0,0,0
Y, , ,Nifty200 Alpha 30,23214.65,22893.3,22893.3,22144.8,22265.45,0,0,Y, ,0,0,0
Y, , ,NiftyM150Momntm50,56856.85,56116.7,56116.7,54276,54516.95,0,0,Y, ,0,0,0
